Id,Title,Industry,Job type,Company,Salary,Grade,Deadline,days left,email,recruitername,Stage,Interview date,Starting date,applied,Link,Location,Score
37,graduate-systems-engineer, ,graduate-job,its-technology-group,Competitive + benefits,2:2,16-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/1177/its-technology-group/graduate-job/52183/graduate-systems-engineer,Daresbury (Cheshire),0
38,graduate-developers-autumn-2023-start, ,graduate-job,dorset-software-services,"£27,000 during initial 5-month training period, rising to £30,240 on completion + benefits",2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/514?jobID=38245&u=https%253A%252F%252Fwww.dorsetsoftware.com%252FCareers%252FVacancies%253Futm_source%253Dgradcracker%2526utm_medium%253Ddisplay%2526utm_campaign%253Drecruitment%252B2021%2526utm_content%253DGD&signature=d3d37a165302cbbd547a571a67de226937074d709e4df0510931ecf0aef9a175,Oxford,0
39,metadata-analyst-professional-programme, ,graduate-job,cadent,"£29,000 + benefits",all grades,4-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/843/cadent/graduate-job/52598/metadata-analyst-professional-programme,Coventry (Hybrid),0
40,machine-learning-researcher, ,graduate-job,g-research,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/347?jobID=46819&u=https%253A%252F%252Fwww.gresearch.co.uk%252Frole%252FR336-Machine-Learning-Researcher%252F&signature=c2843e9283be47ae4d08b101d1e1b7d1fabc8a6bb3574354de30a6e2cd62c8f7,London,0
41,machine-learning-researcher, ,graduate-job,g-research,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/347?jobID=46819&u=https%253A%252F%252Fwww.gresearch.co.uk%252Frole%252FR336-Machine-Learning-Researcher%252F&signature=c2843e9283be47ae4d08b101d1e1b7d1fabc8a6bb3574354de30a6e2cd62c8f7,London,0
42,data-consultant-graduate, ,graduate-job,bae-systems,"£34,000 + benefits",2:2,4-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/141?jobID=46428&u=https%253A%252F%252Fwww.baesystems.com%252Fen%252Fcareers%252Fcareers-in-the-uk%252Fgraduates%252Faccelerate%253Futm_source%253Dgradcracker%2526utm_medium%253Dcpc%2526utm_campaign%253Dclass-of-2023-grad-ugrad%2526utm_content%253Djob-listing&signature=a4f0cbff5846da9f08977890b97e4eb133001d56f81d3f4656ff1b8a66f00180,"London, Guildford and Gloucester",0
43,it-project-management-professional-programme, ,graduate-job,cadent,"£29,000 + benefits",all grades,4-6-2023, , , , , ,TBC,no,https://www.gradcracker.com/hub/843/cadent/graduate-job/52597/it-project-management-professional-programme,Coventry (Hybrid),0
44,graduate-assistant-information-controller, ,graduate-job,martin-baker,Competitive + benefits,2:1,30-5-2023, , , , , ,TBC,no,https://www.gradcracker.com/out/646?jobID=52793&u=https%253A%252F%252Fmbapeople.ciphr-irecruit.com%252FApplicants%252Fvacancy%252F366%252FGraduate--Assistant-Information-Controller&signature=45139eed29eceb25af9b6edc8f90ced7c7dd5183502943fcdd6aba8352134688,Denham (Middlesex),0
45,graduate-technical-engineer-flexible-start-dates, ,graduate-job,tpp,"£50,000 + benefits",2:1,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/578?jobID=34542&u=https%253A%252F%252Ftpp-careers.com%252Froles%252Ftechnical-operations%252F&signature=a72ddea672e2f20e67550b07eac4cb825b3da0e04dba6b7ccae93d5ac168ed5d,Leeds,0
46,technology-graduate-programme, ,graduate-job,deloitte,Competitive + benefits,all grades,Ongoing, , , , , ,TBC,no,https://www.gradcracker.com/out/301?jobID=47036&u=https%253A%252F%252Fad.doubleclick.net%252Fddm%252Fclk%252F538019952%253B346300373%253Bg&signature=16c155331b3c2f3bccdebd3db5e1a095c77572cd6c03b799073c46c54250194e,"Aberdeen, Belfast, Gatwick, Glasgow, Guernsey, Isle of Man, Jersey, Liverpool, Newcastle, Nottingham and Southampton",0
